Summer 2010 [Final],OCR,GCSE, Engineering:Impact of Modern Technologies on Engineering (Examined Unit):Written Paper  ,A624/02,1h 00m ,20 May 2010, Thursday pm  
Summer 2012 [Final],WJEC,GCSE, Home Economics: Textiles Unit 1  ,431101,1h 30m ,11 June 2012, Monday am  
January 2010 [Final],AQA,GCE, Physics B 5  ,PHB5,2h     ,3 February 2010, Wednesday pm  
March 2009 [Final],Edexcel,GCSE," MODULAR 7, FOUNDATION UNIT 2  ",5382F,0h 30m ,3 March 2009, Tuesday pm  
March 2009 [Final],AQA,GCSE, Mathematics B (Modular) Module 1 (calculator)    ,43051/FA,0h 30m ,3 March 2009, Tuesday pm  
March 2009 [Final],Edexcel,GCSE," MODULAR 8, HIGHER  UNIT 2  ",5382H,0h 30m ,3 March 2009, Tuesday pm  
March 2009 [Final],Edexcel,GCSE," MODULAR 9, FOUNDATION UNIT 2  ",5383F,0h 30m ,3 March 2009, Tuesday pm  
March 2009 [Final],OCR,GCSE, Mathematics:Module Test M2:Written Paper  ,B272/01,1h 00m ,9 March 2009, Monday am  
March 2009 [Final],OCR,GCSE, Mathematics:Module Test M10:Written Paper  ,B280/01,1h 00m ,9 March 2009, Monday am  
March 2009 [Final],OCR,GCSE, Mathematics:Module Test M9:Written Paper  ,B279/01,1h 00m ,9 March 2009, Monday am  
March 2009 [Final],OCR,GCSE, Mathematics:Module Test M7:Written Paper  ,B277/01,1h 00m ,9 March 2009, Monday am  
March 2009 [Final],OCR,GCSE, Mathematics:Module Test M8:Written Paper  ,B278/01,1h 00m ,9 March 2009, Monday am  
March 2009 [Final],OCR,GCSE, Mathematics:Module Test M4:Written Paper  ,B274/01,1h 00m ,9 March 2009, Monday am  
Summer 2009 [Final],AQA,GCSE, Human Physiology and Health Written  ,3417/H,2h 00m ,18 June 2009, Thursday am  
Summer 2009 [Final],AQA,GCSE, Human Physiology and Health Written  ,3417/F,2h 00m ,18 June 2009, Thursday am  
January 2012 [Final],WJEC,GCSE, Health &amp; Social Care Unit 2  ,472201,1h 15m ,25 January 2012, Wednesday pm  
January 2012 [Final],OCR,GCSE, Health and Social Care:Safeguarding and Protecting Individuals:Written Paper  ,A914/02,1h 00m ,25 January 2012, Wednesday pm  
January 2012 [Final],AQA,GCSE, Written  ,48201,1h 15m ,25 January 2012, Wednesday pm  
January 2012 [Final],OCR,GCSE, Health and Social Care:Safeguarding and Protecting Individuals:CB Test  ,A914/01,1h 00m ,25 January 2012, Wednesday pm  
January 2012 [Final],Edexcel,GCSE," HEALTH, SOCIAL CARE AND EARLY YEARS IN PRACTICE  ",5HS04,1h 15m ,27 January 2012, Friday am  
January 2012 [Final],WJEC,GCSE, Health &amp; Social Care Unit 3  ,472301,1h 15m ,27 January 2012, Friday am  
January 2012 [Final],AQA,GCE, Applied Health and Social Care 14  ,HC14,2h     ,30 January 2012, Monday pm  
January 2012 [Final],OCR,GCE, Health and Social Care:Anatomy and physiology in practice:Written Paper  ,F921/01,1h 30m ,30 January 2012, Monday pm  
January 2012 [Final],OCR,GCE, Health and Social Care:Social trends:Written Paper  ,F924/01,1h 30m ,1 February 2012, Wednesday am  
January 2012 [Final],AQA,GCE, Applied Health and Social Care 15  ,HC15,2h     ,1 February 2012, Wednesday am  
Summer 2009 [Final],WJEC,GCSE, French Reading Higher  ,15707,45m    ,3 June 2009, Wednesday pm  
Summer 2009 [Final],Edexcel,GCSE, FRENCH READING FOUNDATION  ,3226 3F,0h 30m ,3 June 2009, Wednesday pm  
Summer 2009 [Final],Edexcel,GCSE, FRENCH LISTENING HIGHER  ,3226 1H,0h 35m ,3 June 2009, Wednesday pm  
Summer 2009 [Final],CCEA,GCSE, French 4 (Foundation Tier)  ,G3204,0h 40m ,3 June 2009, Wednesday pm  
Summer 2009 [Final],AQA,GCSE, French (Short Course) (Listening)    ,3657/LH,0h 30m ,3 June 2009, Wednesday pm  
Summer 2009 [Final],WJEC,GCSE, French Listening Higher  ,15706,45m    ,3 June 2009, Wednesday pm  
Summer 2009 [Final],CCEA,GCSE, French 4 (Higher Tier)  ,G3208,1h 00m ,3 June 2009, Wednesday pm  
Summer 2009 [Final],AQA,GCSE, French B (Modular) Listening Test    ,46504/LH,0h 30m ,3 June 2009, Wednesday pm  
Summer 2009 [Final],OCR,GCSE, French:Writing (Higher)  ,2354/02,1h 00m ,3 June 2009, Wednesday pm  
Summer 2009 [Final],OCR,GCSE, French:Writing (Foundation)  ,2354/01,0h 40m ,3 June 2009, Wednesday pm  
Summer 2012 [Final],OCR,GCSE," Physics A: Unit 2 (P4, P5, P6) Higher  ",A332/02,0h 40m ,21 May 2012, Monday am  
Summer 2012 [Final],WJEC,GCSE, Additional Science Physics 2 Foundation (Legacy Specification)  ,24101,45m    ,24 May 2012, Thursday am  
Summer 2012 [Final],WJEC,GCSE, Additional Science Physics 2 Higher (Legacy Specification)  ,24102,45m    ,24 May 2012, Thursday am  
Summer 2012 [Final],WJEC,GCSE, Science Physics 3 Foundation (Legacy Specification)  ,24701,45m    ,24 May 2012, Thursday am  
Summer 2012 [Final],WJEC,GCSE, Science Physics 3 Higher (Legacy Specification)  ,24702,45m    ,24 May 2012, Thursday am  
Summer 2012 [Final],OCR,GCE," Physics:Electrons, Waves and Photons:Written Paper  ",G482/01,1h 45m ,25 May 2012, Friday pm  
March 2013 [Provisional],WJEC,ELC, Religious Education- Written Paper  ,072901,30m    ,14 March 2013, Thursday pm  
January 2013 [Provisional],AQA,GCSE, Written  ,CH1FP,1h     ,14 January 2013, Monday am  
January 2013 [Provisional],AQA,GCSE, Written  ,CH1HP,1h     ,14 January 2013, Monday am  
January 2013 [Provisional],AQA,GCSE, Written  ,CH2FP,1h     ,24 January 2013, Thursday am  
January 2013 [Provisional],AQA,GCSE, Written  ,CH2HP,1h     ,24 January 2013, Thursday am  
Summer 2010 [Final],AQA,GCE, Design and Technology: Product Design(Textiles) 1  ,TEXT1,2h     ,28 May 2010, Friday am  
Summer 2010 [Final],AQA,GCE, Design and Technology: Product Design(Textiles) 3  ,TEXT3,2h     ,16 June 2010, Wednesday pm  
January 2012 [Final],OCR,GCSE, Mathematics B (MEI): Foundation Paper 1:Written Paper  ,B291/01,1h 30m ,11 January 2012, Wednesday am  
January 2012 [Final],OCR,GCSE, Mathematics Terminal Paper (Higher):Written Paper  ,B282/01,2h 00m ,11 January 2012, Wednesday am  
January 2012 [Final],OCR,GCSE, Mathematics A:Paper 1 (Foundation)  ,J512/01,2h 00m ,11 January 2012, Wednesday am  
January 2012 [Final],OCR,GCSE, Mathematics A:Paper 3 (Higher)  ,J512/03,2h 00m ,11 January 2012, Wednesday am  
January 2012 [Final],OCR,GCSE, Mathematics Terminal Paper (Foundation):Written Paper  ,B281/01,2h 00m ,11 January 2012, Wednesday am  
January 2012 [Final],CCEA,GCSE, Mathematics Unit 3 (Higher Tier)  ,GMT31,2h 00m ,11 January 2012, Wednesday am  
January 2012 [Final],CCEA,GCSE, Mathematics Unit 2 (Foundation Tier)  ,GMT21,1h 30m ,11 January 2012, Wednesday am  
January 2012 [Final],OCR,GCSE, Mathematics B (MEI): Higher Paper 3:Written Paper  ,B293/01,1h 30m ,11 January 2012, Wednesday am  
January 2012 [Final],CCEA,GCSE, Mathematics Unit 1 (Foundation Tier)  ,GMT11,1h 30m ,11 January 2012, Wednesday am  
January 2012 [Final],CCEA,GCSE, Mathematics Unit 4 (Higher Tier)  ,GMT41,2h 00m ,11 January 2012, Wednesday am  
Summer 2009 [Final],Edexcel,GCE, CHEMISTRY MATERIALS SCIENCE  ,6255 5D,0h 45m ,11 June 2009, Thursday pm  
Summer 2009 [Final],Edexcel,GCE, CHEMISTRY MINERAL PROCESS CHEMISTRY  ,6255 5E,0h 45m ,11 June 2009, Thursday pm  
Summer 2009 [Final],WJEC,GCE, Chemistry CH4 (Legacy)  ,33401,1h 40m ,11 June 2009, Thursday pm  
Summer 2009 [Final],Edexcel,GCE, CHEMISTRY CHEMICAL ENGINEERING  ,6255 5B,0h 45m ,11 June 2009, Thursday pm  
Summer 2009 [Final],WJEC,GCE, Chemistry CH5 (Legacy)  ,33501,1h 40m ,18 June 2009, Thursday am  
Summer 2009 [Final],Edexcel,GCE, CHEMISTRY SYNOPTIC  ,6246 02,1h 30m ,18 June 2009, Thursday am  
Summer 2009 [Final],Edexcel,GCE, CHEMISTRY APPLYING CHEMISTRY  ,6256 01,2h 00m ,18 June 2009, Thursday am  
Summer 2009 [Final],WJEC,GCE, Chemistry CH6A (Legacy)  ,33601,1h 10m ,18 June 2009, Thursday am  
Summer 2012 [Final],CCEA,GCSE, Science: DA (Mod) Life (Founda  ,GDA01,0h 45m ,15 May 2012, Tuesday am  
Summer 2012 [Final],CCEA,GCSE, Science: DA (Mod) Life (Higher  ,GDA02,0h 45m ,15 May 2012, Tuesday am  
Summer 2012 [Final],CCEA,GCSE, Science: DA (Mod) Materials (F  ,GDB01,0h 45m ,21 May 2012, Monday am  
Summer 2012 [Final],CCEA,GCSE, Science: DA (Mod) Materials (H  ,GDB02,0h 45m ,21 May 2012, Monday am  
Summer 2012 [Final],CCEA,GCSE, Science: DA (Mod) Forces (Foun  ,GDC01,0h 45m ,24 May 2012, Thursday am  
Summer 2012 [Final],CCEA,GCSE, Science: DA (Mod) Forces (High  ,GDC02,0h 45m ,24 May 2012, Thursday am  
Summer 2012 [Final],CCEA,GCSE, DAS:Non-mod 1 (Biology)  ,G8404,1h 45m ,30 May 2012, Wednesday pm  
Summer 2012 [Final],CCEA,GCSE, DAS:Mod 1 (Biology) Higher  ,G8204,1h 30m ,30 May 2012, Wednesday pm  
Summer 2012 [Final],CCEA,GCSE, DAS:Mod 1 (Biology)  ,G8201,1h 00m ,30 May 2012, Wednesday pm  
Summer 2012 [Final],CCEA,GCSE, DAS:Non-mod 1 (Biology)  ,G8401,1h 30m ,30 May 2012, Wednesday pm  
January 2011 [Final],AQA,GCE, Statistics 1A/W  ,SS1A/W,1h 15m ,14 January 2011, Friday pm  
January 2011 [Final],AQA,GCE, Statistics 1B  ,SS1B,1h 30m ,14 January 2011, Friday pm  
January 2011 [Final],AQA,GCE, Statistics 2  ,SS02,1h 30m ,19 January 2011, Wednesday pm  
January 2011 [Final],AQA,GCE, Statistics 3  ,SS03,1h 30m ,24 January 2011, Monday am  
January 2011 [Final],AQA,GCE, Statistics 4  ,SS04,1h 30m ,26 January 2011, Wednesday pm  
Summer 2012 [Final],CCEA,GCSE, Religious Studies Unit 8  ,GRS81,1h 30m ,31 May 2012, Thursday pm  
Summer 2012 [Final],Edexcel,GCSE, RELIGIOUS STUDIES UNIT 11: ISLAM  ,5RS11,1h 30m ,31 May 2012, Thursday pm  
Summer 2012 [Final],Edexcel,GCSE, RELIGIOUS STUDIES UNIT 15: BUDDHISM  ,5RS15,1h 30m ,31 May 2012, Thursday pm  
Summer 2012 [Final],OCR,GCSE," Religious Studies:Islam 2 (Worship, Community and Family, Sacred Writings):Written Paper  ",B578/01,1h 00m ,31 May 2012, Thursday pm  
Summer 2012 [Final],WJEC,GCSE, Religious Studies Spec A Unit 5: Christian Philosopy and Ethics  ,444501,1h 45m ,11 June 2012, Monday am  
Summer 2012 [Final],OCR,GCSE," Religious Studies:Philosophy 1 (Deity, Religious &amp; Spiritual Experience, End of Life):Written Paper  ",B601/01,1h 00m ,11 June 2012, Monday am  
Summer 2012 [Final],WJEC,GCSE, Religious Studies Spec A Unit 4: Roman Catholicism 2  ,444401,1h 45m ,11 June 2012, Monday am  
Summer 2012 [Final],Edexcel,GCSE, RELIGIOUS STUDIES UNIT 16: MARK'S GOSPEL  ,5RS16,1h 30m ,11 June 2012, Monday am  
Summer 2009 [Final],AQA,GCSE, Design and Technology (Food Technology) Written    ,3542/F,2h 00m ,21 May 2009, Thursday am  
Summer 2009 [Final],WJEC,GCSE, D&amp;T:Food Technology Higher Tier  ,13904,1h 30m ,21 May 2009, Thursday am  
Summer 2009 [Final],AQA,GCSE, Design and Technology (Food Technology) (Short Course) Written    ,3552/H,1h 30m ,21 May 2009, Thursday am  
Summer 2009 [Final],WJEC,GCSE, D&amp;T:Food Technology Paper 1 Higher  ,13903,30m    ,21 May 2009, Thursday am  
Summer 2009 [Final],AQA,GCSE, Design and Technology (Food Technology) Written    ,3542/H,2h 00m ,21 May 2009, Thursday am  
Summer 2009 [Final],WJEC,GCSE, D&amp;T:Food Technology (Short Course) Theory Foundation  ,27001,1h     ,21 May 2009, Thursday am  
Summer 2009 [Final],Edexcel,GCSE, DESIGN AND TECHNOLOGY: FOOD FOUNDATION WRITTEN PAPER  ,1970 2F,1h 30m ,21 May 2009, Thursday am  
Summer 2009 [Final],OCR,GCSE, Design and Technology (Food Technology):Paper 2 (Higher)  ,1054/02,1h 15m ,21 May 2009, Thursday am  
Summer 2009 [Final],OCR,GCSE, Design and Technology (Food Technology):Paper 1 (Foundation)  ,1954/01,1h 00m ,21 May 2009, Thursday am  
Summer 2009 [Final],AQA,GCSE, Design and Technology (Food Technology) (Short Course) Written    ,3552/F,1h 30m ,21 May 2009, Thursday am  
Summer 2012 [Final],AQA,GCE, English Language A 1  ,ENGA1,2h     ,18 May 2012, Friday pm  
Summer 2012 [Final],AQA,GCE, English Language A 3  ,ENGA3,2h 30m ,11 June 2012, Monday pm  
Summer 2012 [Final],Edexcel,GCSE, PHYSICAL EDUCATION UNIT 1: THE THEORY OF PHYSICAL EDUCATION (SHORT COURSE)  ,5PE03,1h 00m ,23 May 2012, Wednesday pm  
January 2012 [Final],OCR,GCE, Physics:Mechanics:Written Paper  ,G481/01,1h 00m ,12 January 2012, Thursday pm  
January 2012 [Final],CCEA,GCE, Physics AS 1  ,AY111,1h 30m ,12 January 2012, Thursday pm  
January 2012 [Final],OCR,GCE, Physics:Physics in Action:Written Paper  ,G491/01,1h 00m ,12 January 2012, Thursday pm  
January 2012 [Final],OCR,GCE," Physics:Electrons, Waves and Photons:Written Paper  ",G482/01,1h 45m ,20 January 2012, Friday am  
January 2012 [Final],OCR,GCSE," Physics:Modules P1, P2 and P3:Written Paper - Foundation  ",A181/01,1h 00m ,20 January 2012, Friday am  
January 2012 [Final],OCR,GCSE," Physics:Modules P1, P2, P3:Written Paper - Higher  ",B751/02,1h 15m ,20 January 2012, Friday am  
January 2012 [Final],CCEA,GCE, Physics AS 2  ,AY121,1h 30m ,20 January 2012, Friday am  
January 2012 [Final],OCR,GCSE," Physics:Modules P1, P2, P3:Written Paper - Foundation  ",B751/01,1h 15m ,20 January 2012, Friday am  
January 2012 [Final],OCR,GCE," Physics:Understanding Processes, Experimentation and Data Handling:Written Paper  ",G492/01,2h 00m ,20 January 2012, Friday am  
January 2012 [Final],OCR,GCSE," Physics:Modules P1, P2 and P3:Written Paper - Higher  ",A181/02,1h 00m ,20 January 2012, Friday am  
Summer 2010 [Final],Edexcel,GCE, MATHEMATICS: DECISION  MATHEMATICS D1  ,6689 01,1h 30m ,27 May 2010, Thursday am  
Summer 2010 [Final],OCR,GCE, Mathematics:Decision Mathematics 2:Written Paper  ,4737/01,1h 30m ,9 June 2010, Wednesday pm  
Summer 2010 [Final],Edexcel,GCE, MATHEMATICS: DECISION  MATHEMATICS D2  ,6690 01,1h 30m ,11 June 2010, Friday am  
Summer 2010 [Final],OCR,GCE, Mathematics:Decision Mathematics 1:Written Paper  ,4736/01,1h 30m ,22 June 2010, Tuesday pm  
Summer 2010 [Final],OCR,GCE, Mathematics:MEI Decision Mathematics 1:Written Paper  ,4771/01,1h 30m ,22 June 2010, Tuesday pm  
Summer 2010 [Final],OCR,GCE, Mathematics:MEI Decision Mathematics 2:Written Paper  ,4772/01,1h 30m ,22 June 2010, Tuesday pm  
Summer 2010 [Final],OCR,GCE, Mathematics:MEI Decision Mathematics Computation:Written Paper  ,4773/01,2h 30m ,24 June 2010, Thursday am  
January 2013 [Provisional],WJEC,GCE, Biology/Human Biology BY1  ,107101,1h 30m ,9 January 2013, Wednesday am  
January 2013 [Provisional],Edexcel,GCE," BIOLOGY UNIT 1:LIFESTYLE, TRANSPORT, GENES AND HEALTH  ",6BI01,1h 30m ,9 January 2013, Wednesday am  
January 2013 [Provisional],AQA,GCE, Biology 1  ,BIOL1,1h 15m ,9 January 2013, Wednesday am  
January 2013 [Provisional],AQA,GCE, Biology 4  ,BIOL4,1h 30m ,11 January 2013, Friday pm  
January 2013 [Provisional],Edexcel,GCE, BIOLOGY UNIT 4:THE NATURAL ENVIRONMENT AND SPECIES SURVIVAL  ,6BI04,1h 30m ,11 January 2013, Friday pm  
January 2013 [Provisional],WJEC,GCE, Human Biology HB4  ,107402,1h 45m ,11 January 2013, Friday pm  
January 2013 [Provisional],WJEC,GCE, Biology BY4  ,107401,1h 45m ,11 January 2013, Friday pm  
January 2013 [Provisional],WJEC,GCE, Biology BY2  ,107201,1h 30m ,15 January 2013, Tuesday pm  
January 2013 [Provisional],AQA,GCE, Biology 2  ,BIOL2,1h 45m ,15 January 2013, Tuesday pm  
January 2013 [Provisional],Edexcel,GCE," BIOLOGY UNIT 2:DEVELOPMENT, PLANTS AND THE ENVIRONMENT  ",6BI02,1h 30m ,15 January 2013, Tuesday pm  
Summer 2011 [Final],AQA,GCSE, Business Studies Unit 13 (Short Course) (New Specification)  ,413013,1h     ,27 May 2011, Friday pm  
January 2012 [Final],AQA,GCSE, Written  ,48203,1h 15m ,27 January 2012, Friday am  
November 2011 [Final],Edexcel,GCSE, UNIT 2: STAGE 1: PAPER 7  ,5382F 07,0h 30m ,17 November 2011, Thursday pm  
November 2011 [Final],Edexcel,GCSE, UNIT 2: STAGE 2: PAPER 9  ,5383F 09,0h 30m ,17 November 2011, Thursday pm  
Summer 2012 [Final],OCR,GCSE, Geography:Key Geographical Themes:Written Paper - Higher  ,A772/02,1h 00m ,18 June 2012, Monday am  
Summer 2012 [Final],Edexcel,GCSE," GEOGRAPHY B UNIT 2: PEOPLE AND THE PLANET, FOUNDATION PAPER (2F)  ",5GB2F,1h 00m ,18 June 2012, Monday am  
Summer 2012 [Final],AQA,GCE, Geography 4B    ,GEO4B,1h 30m ,19 June 2012, Tuesday am  
Summer 2012 [Final],WJEC,GCE, Geography G4  ,120401,1h 45m ,19 June 2012, Tuesday am  
Summer 2012 [Final],CCEA,GCE, Geography AS 2  ,AG121,1h 30m ,19 June 2012, Tuesday am  
Summer 2012 [Final],Edexcel,GCE, Geography 4: Geographical Research  ,6GE04,1h 30m ,19 June 2012, Tuesday am  
Summer 2012 [Final],AQA,GCE, Geography 4A  ,GEO4A,1h 30m ,19 June 2012, Tuesday am  
Summer 2012 [Final],OCR,GCE, Geography:Geographical Skills:Written Paper  ,F764/01,1h 30m ,19 June 2012, Tuesday am  
January 2009 [Final],AQA,GCE, Religious Studies 1 An Introduction to Religion and Human Experience  ,RS01,1h 00m ,15 January 2009, Thursday pm  
January 2009 [Final],OCR,GCE, Religious Studies:Islam (AS):Written Paper  ,G578/01,1h 30m ,15 January 2009, Thursday pm  
January 2009 [Final],WJEC,GCE, Religious Studies RS1/2 BS: Intro. to Biblical Studies (New Specification)  ,134401,1h 15m ,15 January 2009, Thursday pm  
January 2009 [Final],WJEC,GCE, Religious Studies RS2a (Legacy)  ,055201,1h     ,15 January 2009, Thursday pm  
January 2009 [Final],AQA,GCE, Religious Studies 3 An Introduction to the New Testament  ,RS03,1h 00m ,15 January 2009, Thursday pm  
January 2009 [Final],OCR,GCE," Religious Studies:Foundation for the Study of Religion:Paper 1 Routes F,M,Q,T  ",2760/14,1h 00m ,15 January 2009, Thursday pm  
January 2010 [Final],WJEC,GCE, Travel &amp; Tourism TT1 (New Specification)  ,168101,1h 30m ,14 January 2010, Thursday am  
January 2010 [Final],WJEC,GCE, Travel &amp; Tourism TT3 (New Specification)  ,168301,1h 30m ,18 January 2010, Monday pm  
January 2010 [Final],WJEC,GCE, Travel &amp; Tourism TT5 (New Specification)  ,168501,2h     ,25 January 2010, Monday am  
Summer 2013 [Provisional],WJEC,GCE, English Literature LT1  ,117101,2h 30m ,17 May 2013, Friday pm  
Summer 2013 [Provisional],OCR,GCE, English Literature:Poetry and Prose 1800-1945 (Closed text):Written  ,F661/01,2h 00m ,17 May 2013, Friday pm  
Summer 2013 [Provisional],OCR,GCSE, English Literature:Prose from Different Cultures:Written (Higher)  ,A663/02,0h 45m ,20 May 2013, Monday am  
Summer 2013 [Provisional],AQA,GCSE, English Literature 1  ,47101F,1h 30m ,20 May 2013, Monday am  
Summer 2013 [Provisional],OCR,GCSE, English Literature:Modern Drama:Written (Higher)  ,A662/02,0h 45m ,20 May 2013, Monday am  
Summer 2013 [Provisional],WJEC,GCSE, English Literature Unit 1 Higher  ,420102,2h     ,20 May 2013, Monday am  
Summer 2013 [Provisional],OCR,GCSE, English Literature:Modern Drama:Written (Foundation)  ,A662/01,0h 45m ,20 May 2013, Monday am  
Summer 2013 [Provisional],WJEC,GCSE, English Literature Unit 1 Foundation  ,420101,2h     ,20 May 2013, Monday am  
Summer 2013 [Provisional],AQA,GCSE, English Literature 1  ,47101H,1h 30m ,20 May 2013, Monday am  
Summer 2013 [Provisional],OCR,GCSE, English Literature:Prose from Different Cultures:Written (Foundation)  ,A663/01,0h 45m ,20 May 2013, Monday am  
Summer 2009 [Final],Edexcel,GCSE, RELIGIOUS STUDIES REL/LIFE/SIKHISM  ,5573 01,2h 00m ,12 May 2009, Tuesday pm  
Summer 2009 [Final],OCR,GCSE," Religious Studies A (Short) - Christian Perspectives on Personal, Social and World Issues:Paper 2B  ",2392/02,1h 00m ,12 May 2009, Tuesday pm  
Summer 2009 [Final],AQA,GCSE, Religious Studies B Written  ,30601,1h 45m ,12 May 2009, Tuesday pm  
Summer 2009 [Final],OCR,GCSE, Religious Studies B (Philosophy &amp; Ethics):Paper 1  ,1031/01,2h 00m ,12 May 2009, Tuesday pm  
Summer 2009 [Final],Edexcel,GCSE, RELIGIOUS STUDIES REL/LIFE/CATH.CHRISTY  ,5566 01,1h 30m ,12 May 2009, Tuesday pm  
Summer 2009 [Final],AQA,GCSE, Religious Studies B Written  ,30602,1h 45m ,12 May 2009, Tuesday pm  
Summer 2009 [Final],Edexcel,GCSE, RELIGIOUS STUDIES REL/LIFE/JUDAISM  ,5570 01,1h 30m ,12 May 2009, Tuesday pm  
Summer 2009 [Final],AQA,GCSE, Religious Studies (Short Course) A Written  ,40601D,1h 45m ,12 May 2009, Tuesday pm  
Summer 2009 [Final] Changed,AQA,GCSE, Religious Studies C Written  ,3063/8/1,1h 30m ,12 May 2009, Tuesday pm  
Summer 2009 [Final],OCR,GCSE," Religious Studies B (Philosophy and Ethics):Paper 3 (Philosophy, with Coursework)  ",1931/03,1h 30m ,12 May 2009, Tuesday pm  
January 2010 [Final],AQA,GCE, Mathematics - Further Pure 1  ,MFP1,1h 30m ,13 January 2010, Wednesday pm  
Summer 2012 [Final],OCR,GCSE, Design and Technology:Food Technology: Sustainable design:Written Paper  ,A522/01,1h 00m ,16 May 2012, Wednesday pm  
Summer 2012 [Final],OCR,GCSE, Design and Technology:Food Technology: Technical aspects of designing and making:Written Paper  ,A524/01,1h 15m ,16 May 2012, Wednesday pm  
Summer 2012 [Final],WJEC,GCSE, D&amp;T:Food Technology Unit 1  ,409101,2h     ,25 May 2012, Friday am  
March 2009 [Final],WJEC,ELC, Welsh Second Language- Reading and Writing  ,071201,1h     ,25 March 2009, Wednesday am  
Summer 2012 [Final],Edexcel,GCE, Chinese 2: Understanding And Written Response In Chinese  ,6CN02,2h 30m ,28 May 2012, Monday pm  
Summer 2012 [Final],Edexcel,GCE," Chinese 3: Research, Understanding And Written Response  ",6CN03,2h 45m ,30 May 2012, Wednesday am  
Summer 2012 [Final],Edexcel,GCSE, CHINESE UNIT 1: 1H LISTENING AND UNDERSTANDING IN CHINESE  ,5CN01,0h 45m ,19 June 2012, Tuesday am  
Summer 2012 [Final],Edexcel,GCSE, CHINESE UNIT 1: 1F LISTENING AND UNDERSTANDING IN CHINESE  ,5CN01,0h 40m ,19 June 2012, Tuesday am  
Summer 2012 [Final],Edexcel,GCSE, CHINESE UNIT 3: 3F READING AND UNDERSTANDING IN CHINESE  ,5CN03,0h 45m ,26 June 2012, Tuesday pm  
Summer 2012 [Final],Edexcel,GCSE, CHINESE UNIT 3: 3H READING AND UNDERSTANDING IN CHINESE  ,5CN03,0h 50m ,26 June 2012, Tuesday pm  
Summer 2010 [Final],CCEA,GCE, English Literature A2 1  ,AL211,2h 00m ,8 June 2010, Tuesday pm  
Summer 2010 [Final],Edexcel,GCE, ENGLISH LITERATURE 1: EXPLORATIONS IN PROSE &amp; POETRY  ,6ET01,2h 15m ,8 June 2010, Tuesday pm  
Summer 2010 [Final],OCR,GCE, English Literature:Poetry and Drama pre-1900:Written Paper  ,2710/01,2h 00m ,8 June 2010, Tuesday pm  
Summer 2010 [Final],Edexcel,GCE, ENGLISH LITERATURE 3: INTERPRETATIONS OF PROSE AND POETRY  ,6ET03,2h 45m ,15 June 2010, Tuesday pm  
Summer 2010 [Final],WJEC,GCE, English Literature LT4 (New Specification)  ,117401,2h 30m ,15 June 2010, Tuesday pm  
Summer 2010 [Final],CCEA,GCE, English Literature A2 2  ,AL221,2h 00m ,15 June 2010, Tuesday pm  
Summer 2010 [Final],OCR,GCE, English Literature:Prose post-1914 (Written Paper)  ,2712/01,2h 00m ,15 June 2010, Tuesday pm  
Summer 2010 [Final],OCR,GCE, English Literature:Drama and Poetry pre-1800 (Closed text):Written Paper  ,F663/01,2h 00m ,15 June 2010, Tuesday pm  
Summer 2010 [Final],OCR,GCE, English Literature:Comparative and Contextual Study:Written Paper  ,2713/01,2h 15m ,22 June 2010, Tuesday pm  
Summer 2010 [Final],CCEA,GCE, English Literature AS 2  ,AL121,2h 00m ,24 June 2010, Thursday am  
Summer 2011 [Final],AQA,GCSE, Information and Communication Technology A  ,3521/H,1h 30m ,16 June 2011, Thursday pm  
Summer 2011 [Final],AQA,GCSE, Information and Communication Technology A  ,3521/F,1h 30m ,16 June 2011, Thursday pm  
January 2013 [Provisional],WJEC,GCE, Electronics ET1  ,114101,1h 15m ,21 January 2013, Monday am  
Summer 2012 [Final],Edexcel,GCSE, RELIGIOUS STUDIES UNIT 6: RELIGION AND LIFE BASED ON A STUDY OF HINDUISM  ,5RS06,1h 30m ,15 May 2012, Tuesday pm  
Summer 2012 [Final],OCR,GCSE," Religious Studies:Ethics (Relationships, Medical Ethics, Poverty and Wealth):Written Paper  ",B603/01,1h 00m ,15 May 2012, Tuesday pm  
Summer 2012 [Final],CCEA,GCSE, Religious Studies Unit 2  ,GRS22,1h 30m ,15 May 2012, Tuesday pm  
Summer 2012 [Final],Edexcel,GCSE, RELIGIOUS STUDIES UNIT 5: RELIGION AND LIFE BASED ON A STUDY OF JUDAISM  ,5RS05,1h 30m ,15 May 2012, Tuesday pm  
Summer 2012 [Final],CCEA,GCSE, Religious Studies Unit 2  ,GRS21,1h 30m ,15 May 2012, Tuesday pm  
Summer 2012 [Final],OCR,GCSE," Religious Studies:Christianity (Roman Catholic) 1 (Beliefs,Special Days,Divisions &amp; Interpretations)  ",B573/01,1h 00m ,15 May 2012, Tuesday pm  
Summer 2012 [Final],OCR,GCSE, Religious Studies:Perspectives on World Religions:Written Paper  ,B589/01,1h 00m ,15 May 2012, Tuesday pm  
Summer 2012 [Final],OCR,GCSE," Religious Studies:Christianity 2 (Worship, Community and Family, Sacred Writings):Written Paper  ",B572/01,1h 00m ,15 May 2012, Tuesday pm  
Summer 2012 [Final],Edexcel,GCSE, RELIGIOUS STUDIES UNIT 2: RELIGION AND LIFE BASED ON A STUDY OF CHRISTIANITY  ,5RS02,1h 30m ,15 May 2012, Tuesday pm  
January 2009 [Final],AQA,GCE, French 2 Written    ,FR02,1h 00m ,9 January 2009, Friday am  
